Postcode,Totaal allochtonen,Gemeentenaam,geometry
1022,860,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.94400953919,52.3857712792,0 4.94351181998,52.3841336619,0 4.94255446555,52.3839557108,0 4.93733630881,52.3839027501,0 4.93616599446,52.3843036424,0 4.93372406184,52.383945596,0 4.9248486303,52.3875494863,0 4.92457911104,52.3873354262,0 4.91828438458,52.3897319481,0 4.91977205997,52.3915838941,0 4.92241063533,52.3954949193,0 4.92574232915,52.3948320744,0 4.92431050932,52.393083782,0 4.92497461619,52.3906821777,0 4.93289854293,52.3916915913,0 4.93327640613,52.3906567637,0 4.93918880047,52.3896861395,0 4.93875246463,52.3866403696,0 4.94400953919,52.3857712792,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1023,945,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.97068371197,52.3814506624,0 4.96852144107,52.3794603616,0 4.96361123628,52.3833534287,0 4.96234295481,52.3823548514,0 4.96088034614,52.3829373879,0 4.95868872441,52.3837185943,0 4.95669176514,52.3842604977,0 4.95451396494,52.384514102,0 4.95216112742,52.3843410087,0 4.94971363352,52.3842358251,0 4.94419356517,52.3842593449,0 4.94351181998,52.3841336619,0 4.94400953919,52.3857712792,0 4.93875246463,52.3866403696,0 4.93918880047,52.3896861395,0 4.93788941502,52.3919380163,0 4.93547291823,52.3932221476,0 4.94003043163,52.3945031036,0 4.94345549261,52.3937250717,0 4.95148717836,52.391192512,0 4.95252099422,52.389584826,0 4.95271965796,52.3864012314,0 4.96572019805,52.3900216953,0 4.9682164144,52.3868740929,0 4.97056388036,52.3838876911,0 4.97068371197,52.3814506624,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1024,8210,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.96572019805,52.3900216953,0 4.95271965796,52.3864012314,0 4.95252099422,52.389584826,0 4.95148717836,52.391192512,0 4.94345549261,52.3937250717,0 4.94197202076,52.3952986335,0 4.94474732897,52.3980943008,0 4.94618921096,52.3974516693,0 4.95081049689,52.4018817088,0 4.95894079194,52.3980727656,0 4.96169863359,52.3957764787,0 4.96572019805,52.3900216953,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1025,7135,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.95081049689,52.4018817088,0 4.94618921096,52.3974516693,0 4.94474732897,52.3980943008,0 4.94197202076,52.3952986335,0 4.94345549261,52.3937250717,0 4.94003043163,52.3945031036,0 4.93547291823,52.3932221476,0 4.93788941502,52.3919380163,0 4.93918880047,52.3896861395,0 4.93327640613,52.3906567637,0 4.93289854293,52.3916915913,0 4.92497461619,52.3906821777,0 4.92431050932,52.393083782,0 4.92574232915,52.3948320744,0 4.92241063533,52.3954949193,0 4.92219893151,52.3969087443,0 4.9210537055,52.3980915113,0 4.9213306343,52.3987235334,0 4.92254363413,52.3993457488,0 4.92519585157,52.4046938798,0 4.9252409004,52.4072797963,0 4.92873196274,52.4117485209,0 4.93960913223,52.4063993389,0 4.95081049689,52.4018817088,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1026,50,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>5.02635540062,52.3901590216,0 5.02505266415,52.3876070581,0 5.01937098007,52.3863519555,0 5.01724405946,52.3842359365,0 5.01311380943,52.383706175,0 5.01279222878,52.3770848688,0 5.01166009123,52.3739463946,0 5.0083553819,52.3724735782,0 5.00135807935,52.3750340359,0 4.99948154403,52.3780324768,0 4.98916614293,52.3771992537,0 4.98324991957,52.3737351513,0 4.979680723,52.3736636035,0 4.97326945298,52.3796361338,0 4.96852144107,52.3794603616,0 4.97068371197,52.3814506624,0 4.97056388036,52.3838876911,0 4.9682164144,52.3868740929,0 4.9847124587,52.3912192969,0 4.98679602938,52.3885660209,0 4.98539533846,52.3878404696,0 4.98882699521,52.3843828349,0 4.9934823652,52.3846383719,0 5.00213563731,52.3856087247,0 5.00214984261,52.3873559654,0 5.00562504019,52.3880700439,0 5.00609445878,52.3874612957,0 5.0098303227,52.3886236725,0 5.02635540062,52.3901590216,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1027,40,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>5.00150043155,52.4219875407,0 5.00053092964,52.4207234265,0 5.00006637036,52.4190448302,0 4.99382183457,52.4177309544,0 4.99119251254,52.4142350172,0 4.98900428482,52.4141989237,0 4.97823432167,52.4063070852,0 4.97382888137,52.4034418267,0 4.97836580164,52.4000198095,0 4.97920560374,52.4004109695,0 4.98226027854,52.3984936077,0 4.98208031434,52.3963206857,0 4.98354027591,52.3958852764,0 4.9847124587,52.3912192969,0 4.9682164144,52.3868740929,0 4.96572019805,52.3900216953,0 4.96169863359,52.3957764787,0 4.95894079194,52.3980727656,0 4.95081049689,52.4018817088,0 4.93960913223,52.4063993389,0 4.92873196274,52.4117485209,0 4.93107549697,52.4118159855,0 4.93750005456,52.4129415262,0 4.94420376578,52.4152864801,0 4.94796782666,52.4218326756,0 4.95385124819,52.4222623726,0 4.97168996972,52.4232798434,0 4.97627167139,52.423983368,0 4.98301801466,52.4267351923,0 4.98733292017,52.4230136997,0 4.98937072458,52.4233144513,0 4.99054412163,52.4252570014,0 4.99971273282,52.4255273005,0 5.00150043155,52.4219875407,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1028,60,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>5.06849256948,52.4158998452,0 5.06716695979,52.4134291914,0 5.05667044516,52.4143251985,0 5.05147268595,52.4124519607,0 5.04680473506,52.406715363,0 5.0387457773,52.4046454662,0 5.03209450041,52.4006550041,0 5.02918351506,52.3975850698,0 5.02635540062,52.3901590216,0 5.0098303227,52.3886236725,0 5.00609445878,52.3874612957,0 5.00562504019,52.3880700439,0 5.00214984261,52.3873559654,0 5.00213563731,52.3856087247,0 4.9934823652,52.3846383719,0 4.98882699521,52.3843828349,0 4.98539533846,52.3878404696,0 4.98679602938,52.3885660209,0 4.9847124587,52.3912192969,0 4.98354027591,52.3958852764,0 4.98208031434,52.3963206857,0 4.98226027854,52.3984936077,0 4.97920560374,52.4004109695,0 4.97836580164,52.4000198095,0 4.97382888137,52.4034418267,0 4.97823432167,52.4063070852,0 4.98900428482,52.4141989237,0 4.99119251254,52.4142350172,0 4.99382183457,52.4177309544,0 5.00006637036,52.4190448302,0 5.00053092964,52.4207234265,0 5.00150043155,52.4219875407,0 4.99971273282,52.4255273005,0 5.0112306672,52.4216593065,0 5.01823435178,52.418972469,0 5.02137271138,52.4211113503,0 5.02390070081,52.4202733981,0 5.02874939709,52.4187458988,0 5.02995226844,52.4163210934,0 5.03262606408,52.416677841,0 5.03565196705,52.4191620281,0 5.03752431182,52.4188404206,0 5.03926747758,52.4173697953,0 5.05025253883,52.4155779639,0 5.05747143517,52.416900565,0 5.06188825385,52.4161299564,0 5.06562761455,52.4171413744,0 5.06849256948,52.4158998452,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1031,3130,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.91828438458,52.3897319481,0 4.91601279535,52.3877061005,0 4.90595650694,52.3832329425,0 4.90358707441,52.381776273,0 4.90274018828,52.381992111,0 4.90275047002,52.3829331638,0 4.90177317577,52.3831179032,0 4.90087639744,52.3837280828,0 4.90020756077,52.3848460984,0 4.89725757905,52.3938009352,0 4.89790096783,52.3942089386,0 4.89691409889,52.3947036732,0 4.89643514212,52.3957658293,0 4.89663681004,52.3971912093,0 4.89778038484,52.3971465077,0 4.8982232404,52.3974907665,0 4.91828438458,52.3897319481,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1032,1845,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.92241063533,52.3954949193,0 4.91977205997,52.3915838941,0 4.91828438458,52.3897319481,0 4.8982232404,52.3974907665,0 4.8983470518,52.3975883443,0 4.89712776431,52.39836703,0 4.89992173835,52.4008294899,0 4.89966818659,52.400903943,0 4.90154293202,52.4030659835,0 4.90250048005,52.4023086515,0 4.90367469556,52.4031034643,0 4.90873196393,52.4015241973,0 4.91743393377,52.4003969229,0 4.9213306343,52.3987235334,0 4.9210537055,52.3980915113,0 4.92219893151,52.3969087443,0 4.92241063533,52.3954949193,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1033,3360,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.90218815777,52.412049076,0 4.89885488932,52.4051041167,0 4.902189681,52.4038541535,0 4.90154293202,52.4030659835,0 4.89966818659,52.400903943,0 4.89893996014,52.4011175461,0 4.89704065849,52.3994676577,0 4.89596214887,52.3992043455,0 4.89543209647,52.3987734348,0 4.89116349062,52.3987969799,0 4.89175852288,52.4009034813,0 4.88967171261,52.4018456292,0 4.88910322138,52.4027456009,0 4.88837761231,52.4025888588,0 4.88603845039,52.4038723097,0 4.88901113507,52.4059699836,0 4.8869667362,52.4067738523,0 4.88489416526,52.405259651,0 4.88280370324,52.4063625416,0 4.88152391221,52.4059589327,0 4.87985963432,52.4071795307,0 4.87648018393,52.4087845853,0 4.87904379683,52.4107863732,0 4.87722691624,52.41145264,0 4.87487277993,52.4097680843,0 4.87109334302,52.4117379513,0 4.86911254369,52.4128338883,0 4.86528045045,52.41473773,0 4.86568267424,52.4155304141,0 4.86591536577,52.4159916055,0 4.86831388247,52.4182787033,0 4.87262947918,52.4166509881,0 4.87444642377,52.416003666,0 4.87479537658,52.4170962749,0 4.87715895812,52.4193983194,0 4.88359283431,52.4209753056,0 4.88691371245,52.4161558267,0 4.89395595128,52.4168144856,0 4.8965020925,52.4163927525,0 4.90218815777,52.412049076,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
