OBJECTNUMMER;SELECTIE;FILTER;Naam;Sportvoorziening;Locatie;Omheining;Ondergrond;Verlichting;Omschrijving;Oppervlak;Foto;COORDS;CENTERLNG1;CENTERLAT1;CENTERLNG2;CENTERLAT2;
485;"SKATE";"";"OLYMPIAPLEIN";"Skate";"Plein";"Geen";"Asfalt";"Ja";"Skatepark, zitbanken naast veld";820;"Olympiaplein_2.jpg";"POINT(4.866865 52.346955)";4.866865;52.346955;4,866865;52,346955;
486;"SKATE";"";"MERCATOR";"Skate";"Speeltuin";"Hekwerk laag";"Asfalt";"Nee";"Skatepark";105;"Mercator_4.jpg";"POINT(4.846889 52.370089)";4.846889;52.370089;4,846889;52,370089;
487;"SKATE";"";"GERBRANDYPARK";"Skate";"Park";"Geen";"Asfalt";"Nee";"Skatepark";225;"Gerbrandypark_4.jpg";"POINT(4.834921 52.377269)";4.834921;52.377269;4,834921;52,377269;
488;"SKATE";"";"STADSPARK OSDORP";"Skate";"Park";"Geen";"Asfalt";"Ja";"Skatepark";220;"StadsparkOsdorp.jpg";"POINT(4.800344 52.354391)";4.800344;52.354391;4,800344;52,354391;
489;"SKATE";"";"SLOTERPARK";"Skate";"Park";"Geen";"Asfalt";"Nee";"Skatepark";463;"Sloterpark_2.jpg";"POINT(4.823721 52.364095)";4.823721;52.364095;4,823721;52,364095;
490;"SKATE";"";"HENDRIKPLANTSOEN";"Skate";"Plantsoen";"Geen";"Asfalt";"Nee";"Skatepark";70;"FHendrikplantsoen_1.jpg";"POINT(4.876395 52.378381)";4.876395;52.378381;4,876395;52,378381;
491;"SKATE";"";"ABCOUDERPAD";"Skate";"Plein";"Geen";"Asfalt";"Nee";"Halfpipe";789;"Abcouderpad_1.jpg";"POINT(4.956414 52.307831)";4.956414;52.307831;4,956414;52,307831;
492;"SKATE";"";"SHAWSINGEL";"Skate";"Plantsoen";"Geen";"Asfalt";"Nee";"Halfpipe, zitbanken naast veld";53;"BShawsingel_3.jpg";"POINT(4.946357 52.320979)";4.946357;52.320979;4,946357;52,320979;
493;"SKATE";"";"WISSELOORDPLEIN";"Skate";"Plein";"Geen";"Asfalt";"Nee";"Halfpipe, zitbanken naast veld";50;"Wisseloordplein_2.jpg";"POINT(4.988362 52.29661)";4.988362;52.29661;4,988362;52,29661;
494;"SKATE";"";"SNELPLANTSOEN";"Skate";"Plantsoen";"Geen";"Asfalt";"Nee";"Skatepark";448;"MSnelplantsoen_1.jpg";"POINT(4.995246 52.297271)";4.995246;52.297271;4,995246;52,297271;
495;"SKATE";"";"SNELPLANTSOEN";"Skate";"Plantsoen";"Geen";"Asfalt";"Nee";"Skatepark";264;"MSnelplantsoen_1.jpg";"POINT(4.99485 52.297261)";4.99485;52.297261;4,99485;52,297261;
496;"SKATE";"";"REIGERSBOSPAD";"Skate";"Park";"Geen";"Asfalt";"Nee";"Skatepark";439;"Reigersbospad_4.jpg";"POINT(4.972561 52.302721)";4.972561;52.302721;4,972561;52,302721;
497;"SKATE";"";"BIJLMERWEIDE";"Skate";"Park";"Geen";"Asfalt";"Nee";"Halfpipe, zitbanken naast veld";32;"Bijlmerweide_2.jpg";"POINT(4.986175 52.322963)";4.986175;52.322963;4,986175;52,322963;
498;"SKATE";"";"SUMATRAKADE";"Skate";"Plein";"Gedeeltelijk";"Asfalt";"Ja";"Skatepark";852;"Sumatrakade_3.jpg";"POINT(4.923007 52.379957)";4.923007;52.379957;4,923007;52,379957;
499;"SKATE";"";"OOSTERPARK";"Skate";"Park";"Geen";"Asfalt";"Nee";"Skatepark, veld ligt verdiept, zitbanken naast veld";643;"Oosterpark_2.jpg";"POINT(4.920572 52.361505)";4.920572;52.361505;4,920572;52,361505;
500;"SKATE";"";"RUSTHOFSTRAAT";"Skate";"Plantsoen";"Geen";"Asfalt";"Ja";"Skatepark, zitbanken naast veld";423;"Rusthofstraat_3.jpg";"POINT(4.920779 52.343207)";4.920779;52.343207;4,920779;52,343207;
501;"SKATE";"";"MARNIXPLANTSOEN";"Skate";"Plantsoen";"Geen";"Asfalt";"Nee";"Skatebowl, zitbanken naast de accommodatie";513;"Marnixplantsoen_2.jpg";"POINT(4.880562 52.381311)";4.880562;52.381311;4,880562;52,381311;
502;"SKATE";"";"KINDERDIJKSTRAAT";"Skate";"Plantsoen";"Veldafscheiding";"Asfalt";"Ja";"Skateplein";1090;"Kinderdijkstraat_3.jpg";"POINT(4.903887 52.343355)";4.903887;52.343355;4,903887;52,343355;
503;"SKATE";"";"OPVELD";"Skate";"Plantsoen";"Geen";"Asfalt";"Nee";"Skatebowl met ramp, veld ligt verdiept, zitbanken naast veld";124;"Opveld_3.jpg";"POINT(4.881315 52.324234)";4.881315;52.324234;4,881315;52,324234;
504;"SKATE";"";"VELD 14";"Skate";"Sportveld";"Kooi open";"Asfalt";"Ja";"";1002;"";"POINT(4.951204 52.347142)";4.951204;52.347142;4,951204;52,347142;
505;"SKATE";"";"AMSTERDAMSE BRUG";"Skate";"Straat";"Geen";"Asfalt";"Nee";"Halfpipe onder Amsterdamsebrug, paar bankjes";318;"";"POINT(4.956395 52.36581)";4.956395;52.36581;4,956395;52,36581;
506;"SKATE";"";"BICKERSGRACHT";"Skate";"Plantsoen";"Geen";"Tegels";"Nee";"Halfpipe";63;"";"POINT(4.889152 52.386713)";4.889152;52.386713;4,889152;52,386713;
507;"SKATE";"";"PURMERPLEIN";"Skate";"Plein";"Geen";"Asfalt";"Nee";"Skatepark";1061;"Purmerplein.jpg";"POINT(4.944088 52.391119)";4.944088;52.391119;4,944088;52,391119;
508;"OVERIG";"";"TWISKE";"Overig";"Plantsoen";"Hekwerk laag";"Gras";"Nee";"Trapveldje, speeltuin t Twiske";1677;"Twiske_2.jpg";"POINT(4.90318 52.420375)";4.90318;52.420375;4,90318;52,420375;
509;"OVERIG";"";"WILTZANGHLAAN";"Overig";"Plantsoen";"Kooi open";"Asfalt";"Nee";"Kooi is niet ingericht, zitbanken naast veld";249;"Wiltzanghlaan.jpg";"POINT(4.840988 52.38189)";4.840988;52.38189;4,840988;52,38189;
510;"FITNESS";"";"SARPHATIPARK";"Fitness / Bootcamp";"Park";"Geen";"Asfalt";"Nee";"Fitnesspark, zitbanken naast veld";313;"Sarphatipark_2.jpg";"POINT(4.898217 52.354503)";4.898217;52.354503;4,898217;52,354503;
511;"OVERIG";"";"EENDRACHTSPARK";"Overig";"Park";"Geen";"Gras";"Ja";"Volleybalveld";1040;"Eendrachtspark_1.jpg";"POINT(4.807635 52.377247)";4.807635;52.377247;4,807635;52,377247;
512;"OVERIG";"";"OVERLEG";"Overig";"Plantsoen";"Geen";"Zand";"Nee";"Crossbaanterrein";2175;"Overleg.jpg";"POINT(4.804452 52.35567)";4.804452;52.35567;4,804452;52,35567;
513;"OVERIG";"";"CORFUPLANTSOEN";"Overig";"Plein";"Hekwerk";"Kunstgras";"Nee";"Trapveld";1523;"Corfuplantsoen.jpg";"POINT(4.790872 52.344907)";4.790872;52.344907;4,790872;52,344907;
514;"OVERIG";"";"KORTEBERGPAD";"Overig";"Schoolplein";"Geen";"Asfalt";"Nee";"Trapveld, zitbanken naast veld";231;"KorteBergpad.jpg";"POINT(4.8176 52.34458)";4.8176;52.34458;4,8176;52,34458;
515;"OVERIG";"";"WESTERPARK";"Overig";"Park";"Geen";"Kunstgras";"Ja";"Trapveld";2226;"Westerpark_1.jpg";"POINT(4.870889 52.387147)";4.870889;52.387147;4,870889;52,387147;
516;"OVERIG";"";"KRAAIENNESTPAD";"Overig";"Park";"Geen";"Gras";"Nee";"Trapveld";5670;"Kraaiennestpad.jpg";"POINT(4.961226 52.313664)";4.961226;52.313664;4,961226;52,313664;
517;"OVERIG";"";"KRAAIENNEST";"Overig";"Plein";"Geen";"Asfalt";"Ja";"Fitnesspark, zitbanken naast veld";49;"Kraaiennest_6.jpg";"POINT(4.978428 52.318407)";4.978428;52.318407;4,978428;52,318407;
518;"OVERIG";"";"KRAAIENNEST";"Overig";"Plein";"Geen";"Asfalt";"Ja";"Atletiekbaan met belijning";2601;"Kraaiennest_5.jpg";"POINT(4.977691 52.318809)";4.977691;52.318809;4,977691;52,318809;
519;"OVERIG";"";"JEUGDLAND";"Overig";"Sportpark";"Veldafscheiding";"Zand";"Ja";"Zandveld geschikt voor beachvolleybal en strandvoetbal";1137;"Jeugdland_1.jpg";"POINT(4.954295 52.358307)";4.954295;52.358307;4,954295;52,358307;
520;"OVERIG";"";"ONSGENOEGEN";"Overig";"Speeltuin";"Ballenvangers";"Asfalt";"Nee";"Asfaltveld, speeltuin Ons Genoegen, ballenvangers (2 zijden)";261;"OnsGenoegen.jpg";"POINT(4.881261 52.370259)";4.881261;52.370259;4,881261;52,370259;
521;"OVERIG";"";"HEENVLIETLAAN";"Overig";"Plantsoen";"Geen";"Asfalt";"Nee";"Asfaltveld, veld ligt verdiept, zitbanken naast veld";384;"Heenvlietlaan.jpg";"POINT(4.881175 52.33012)";4.881175;52.33012;4,881175;52,33012;
522;"OVERIG";"";"CALAND";"Overig";"Dak sporthal";"Hekwerk";"Beton";"Ja";"Multifunctionele openbare accommodatie op dak sporthal o.a. voetbal,basketbal,tennis en hardloopbaan";269;"";"POINT(4.807567 52.354283)";4.807567;52.354283;4,807567;52,354283;
523;"OVERIG";"";"IJPLEIN";"Overig";"Plantsoen";"Geen";"Asfalt";"Nee";"Volleybalveld";157;"IJplein_3.jpg";"POINT(4.910819 52.382515)";4.910819;52.382515;4,910819;52,382515;
525;"JEUDEBOULES";"";"Toussaint";"Jeu de boules";"Straat";"Geen";"";"";"";;"";"POINT(4.876361 52.365844)";4.876361;52.365844;4,876361;52,365844;
526;"JEUDEBOULES";"";"Miep Giesplantsoen";"Jeu de boules";"Straat";"Geen";"";"";"";;"";"POINT(4.903829 52.344376)";4.903829;52.344376;4,903829;52,344376;
528;"JEUDEBOULES";"";"Sarphatipark";"Jeu de boules";"Park";"Geen";"";"";"";;"";"POINT(4.897667 52.354287)";4.897667;52.354287;4,897667;52,354287;
529;"JEUDEBOULES";"";"Theo van Goghpark";"Jeu de boules";"Park";"Geen";"";"";"";;"";"POINT(5.009071 52.349107)";5.009071;52.349107;5,009071;52,349107;
530;"JEUDEBOULES";"";"Meerpark (exacte locatie niet bekend)";"Jeu de boules";"";"";"";"";"";;"";"POINT(4.948697 52.347300)";4.948697;52.347300;4,948697;52,347300;
531;"JEUDEBOULES";"";"Amstelveld";"Jeu de boules";"Plein";"Geen";"";"";"";;"";"POINT(4.896865 52.361956)";4.896865;52.361956;4,896865;52,361956;
532;"JEUDEBOULES";"";"Café Daan&Daan";"Jeu de boules";"Plein";"Geen";"";"";"";;"";"POINT(4.916018 52.371000)";4.916018;52.371000;4,916018;52,371000;
533;"JEUDEBOULES";"";"Binnengasthuisterrein";"Jeu de boules";"Plein";"Geen";"";"";"";;"";"POINT(4.894445 52.368831)";4.894445;52.368831;4,894445;52,368831;
534;"JEUDEBOULES";"";"Aragohof (exacte locatie niet bekend)";"Jeu de boules";"Plantsoen";"Geen";"";"";"";;"";"POINT(4.940523 52.350601)";4.940523;52.350601;4,940523;52,350601;
535;"JEUDEBOULES";"";"Museumplein";"Jeu de boules";"Plein";"Geen";"";"";"";;"";"POINT(4.883045 52.357576)";4.883045;52.357576;4,883045;52,357576;
538;"VOETBAL";"";"Bockesprong";"Voetbal";"Schoolplein";"Geen";"Asfalt";"Nee";"Combiveld met basketbal";1502;"";"POINT(4.847363 52.355172)";4.847363;52.355172;4,847363;52,355172;
539;"OVERIG";"";"Hygieaplein";"Overig";"Schoolplein";"Geen";"";"";"Tafeltennis";;"";"POINT(4.863263 52.347112)";4.863263;52.347112;4,863263;52,347112;
540;"FITNESS";"";"Olympiaplein";"Fitness / Bootcamp";"Sportpark";"Geen";"";"";"";;"";"POINT(4.866160 52.348363)";4.866160;52.348363;4,866160;52,348363;
541;"VOETBAL";"";"Olympisch Stadion";"Voetbal";"Plein";"Hekwerk";"Asfalt";"";"";;"";"POINT(4.852347 52.344388)";4.852347;52.344388;4,852347;52,344388;
542;"JEUDEBOULES";"";"Olympisch Stadion";"Jeu de boules";"Plein";"";"";"";"";;"";"POINT(4.855737 52.342376)";4.855737;52.342376;4,855737;52,342376;
543;"OVERIG";"";"Zeelandstraat";"Overig";"";"";"";"";"Tafeltennis";;"";"POINT(4.877844 52.327262)";4.877844;52.327262;4,877844;52,327262;
545;"FITNESS";"";"Van Heenvlietlaan";"Fitness / Bootcamp";"";"";"";"";"";;"";"POINT(4.881205 52.330347)";4.881205;52.330347;4,881205;52,330347;
547;"VOETBAL";"";"Kennedyplantsoen";"Voetbal";"";"";"";"";"Combiveld - zie basketbal";;"";"POINT(4.899487 52.340862)";4.899487;52.340862;4,899487;52,340862;
548;"BASKETBAL";"";"Jekerstraat";"Basketbal";"";"";"";"";"Combiveld - zie voetbal";;"";"POINT(4.896673 52.346050)";4.896673;52.346050;4,896673;52,346050;
573;"OVERIG";"";"";"Overig";"";"";"";"";"Tafeltennis";;"";"POINT(4.903408 52.343131)";4.903408;52.343131;4,903408;52,343131;
550;"OVERIG";"";"Roerstraat";"Overig";"";"";"";"";"Tafeltennis";;"";"POINT(4.897137 52.344072)";4.897137;52.344072;4,897137;52,344072;
553;"FITNESS";"";"Winterdijkplein";"Fitness / Bootcamp";"Sportpark";"";"";"";"";;"";"POINT(4.904661 52.343200)";4.904661;52.343200;4,904661;52,343200;
554;"VOETBAL";"";"Gaaspstraat";"Voetbal";"Speeltuin";"";"";"";"";;"";"POINT(4.907630 52.344560)";4.907630;52.344560;4,907630;52,344560;
555;"OVERIG";"";"Gaaspstraat";"Overig";"";"";"";"";"Tafeltennis";;"";"POINT(4.907977 52.344660)";4.907977;52.344660;4,907977;52,344660;
556;"VOETBAL";"";"Meerhuizenplein";"Voetbal";"";"";"";"";"Combiveld - zie basketbal";;"";"POINT(4.907898 52.347706)";4.907898;52.347706;4,907898;52,347706;
557;"VOETBAL";"";"Keijserplein";"Voetbal";"";"";"";"";"Combiveld - zie ook basketbal";;"";"POINT(4.898162 52.351494)";4.898162;52.351494;4,898162;52,351494;
558;"OVERIG";"";"Keijserplein";"Overig";"";"";"";"";"Tafeltennis";;"";"POINT(4.898133 52.351362)";4.898133;52.351362;4,898133;52,351362;
559;"VOETBAL";"";"Smaragdplein";"Voetbal";"";"";"";"";"";;"";"POINT(4.905310 52.350644)";4.905310;52.350644;4,905310;52,350644;
560;"OVERIG";"";"Servaes Noutstraat";"Overig";"";"";"";"";"Tafeltennis";;"";"POINT(4.904140 52.355316)";4.904140;52.355316;4,904140;52,355316;
561;"OVERIG";"";"Sarphatipark";"Overig";"";"";"";"";"Tafeltennis";;"";"POINT(4.898218 52.354409)";4.898218;52.354409;4,898218;52,354409;
562;"VOETBAL";"";"Obrechtplein";"Voetbal";"";"";"";"";"";;"";"POINT(4.878112 52.352626)";4.878112;52.352626;4,878112;52,352626;
563;"VOETBAL";"";"Scheltemaplein";"Voetbal";"";"";"";"";"";;"";"POINT(4.874177 52.349293)";4.874177;52.349293;4,874177;52,349293;
564;"FITNESS";"";"Kleine Loopveld";"Fitness / Bootcamp";"";"";"";"";"";;"";"POINT(4.879282 52.322776)";4.879282;52.322776;4,879282;52,322776;
575;"FITNESS";"";"Amstelpark";"Fitness / Bootcamp";"";"";"";"";"";;"";"POINT(4.893535 52.333523)";4.893535;52.333523;4,893535;52,333523;
567;"BEACHVOLLEY";"";"VU - Boelelaan";"Beachvolley";"";"";"";"";"";;"";"POINT(4.864953 52.333959)";4.864953;52.333959;4,864953;52,333959;
568;"BASKETBAL";"";"VU Boelelaan";"Basketbal";"";"";"";"";"";;"";"POINT(4.865409 52.333897)";4.865409;52.333897;4,865409;52,333897;
569;"OVERIG";"";"Utrechtsebrug";"Overig";"";"";"";"";"Free running";;"";"POINT(4.908797 52.339331)";4.908797;52.339331;4,908797;52,339331;
570;"FITNESS";"";"Schinkeleilanden";"Fitness / Bootcamp";"";"";"";"";"";;"";"POINT(4.850206 52.343926)";4.850206;52.343926;4,850206;52,343926;
571;"FITNESS";"";"Jachthavenweg";"Fitness / Bootcamp";"";"";"";"";"";;"";"POINT(4.849627 52.337083)";4.849627;52.337083;4,849627;52,337083;
572;"FITNESS";"";"Beatrixpark";"Fitness / Bootcamp";"";"";"";"";"";;"";"POINT(4.881940 52.341468)";4.881940;52.341468;4,881940;52,341468;

