OBJECTNUMMER;SELECTIE;FILTER;Naam;Sportvoorziening;Locatie;Omheining;Ondergrond;Verlichting;Omschrijving;Oppervlak;Foto;COORDS;CENTERLNG1;CENTERLAT1;CENTERLNG2;CENTERLAT2;
329;"VOETBAL";"";"BARENTSZPLEIN";"Voetbal";"Speeltuin";"Kooi open";"Asfalt";"Ja";"Voetbalveld, combi-veld, speeltuin Zuiderspeeltuin, zitbanken naast veld";224;"Barentszplein_1.jpg";"POINT(4.890664 52.38946)";4.890664;52.38946;4,890664;52,38946;
330;"VOETBAL";"";"SPAARNDAMMERPLANTSOEN";"Voetbal";"Plein";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, zitbanken naast veld";482;"Spaarndammerplantsoen_1.jpg";"POINT(4.874035 52.392014)";4.874035;52.392014;4,874035;52,392014;
331;"VOETBAL";"";"SPAARNDAMMERPLANTSOEN";"Voetbal";"Plein";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, combi-veld, zitbanken naast veld";472;"Spaarndammerplantsoen_2.jpg";"POINT(4.874169 52.391808)";4.874169;52.391808;4,874169;52,391808;
332;"VOETBAL";"";"ZAANSTRAAT";"Voetbal";"Speeltuin";"Hekwerk";"Asfalt";"Ja";"Voetbaldoel";432;"";"POINT(4.871033 52.391192)";4.871033;52.391192;4,871033;52,391192;
333;"VOETBAL";"";"NIEUWENHUISPLANTSOEN";"Voetbal";"Plantsoen";"Geen";"Asfalt";"Nee";"Voetbalveld, kleine doelen, zitbanken naast veld";90;"Nieuwenhuisplantsoen_1.jpg";"POINT(4.880522 52.387377)";4.880522;52.387377;4,880522;52,387377;
334;"VOETBAL";"";"NIEUWENHUISPLANTSOEN";"Voetbal";"Plantsoen";"Geen";"Asfalt";"Nee";"Voetbalveld, kleine doelen, zitbanken naast veld";75;"Nieuwenhuisplantsoen_2.jpg";"POINT(4.880728 52.387351)";4.880728;52.387351;4,880728;52,387351;
335;"VOETBAL";"";"WESTZAANSTRAAT";"Voetbal";"Straat";"Kooi gesloten";"Asfalt";"Nee";"Voetbalveld, kleine doelen";185;"Westzaanstraat.jpg";"POINT(4.882348 52.388293)";4.882348;52.388293;4,882348;52,388293;
336;"VOETBAL";"";"BULLEWIJKPAD";"Voetbal";"Park";"Ballenvangers";"Gras";"Nee";"Voetbalveld";4297;"Bullewijkpad.jpg";"POINT(4.963636 52.310068)";4.963636;52.310068;4,963636;52,310068;
337;"VOETBAL";"";"ENNALSSTRAAT";"Voetbal";"Plein";"Kooi open";"Asfalt";"Nee";"Voetbalveld met belijning,combi-veld, zitbanken naast veld";296;"MEnnalsstraat.jpg";"POINT(4.953779 52.317897)";4.953779;52.317897;4,953779;52,317897;
338;"VOETBAL";"";"REIGERSBOSPAD";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld";1211;"Reigersbospad_1.jpg";"POINT(4.951872 52.319445)";4.951872;52.319445;4,951872;52,319445;
